"","X","WID","n_reg","n_dam","n_basin","res_vol","iw_vol","DOF","DOR","USE","SED","RDD","URB","uparea","order","b","pval","fdi_mean","group","RL"
"42",11155,22038221,2902,318,17759,18726.6,3270.7,9.47422311034688,3.03859836058105,0.348304180266102,5.46725521056924,2.00587862084077,2.97981098909448,795504.410770848,8,-0.0009024765,0.0191672520432152,0.989199014735184,"(-0.1,0]",16.3410101920153
"43",11405,22047282,123,27,788,3822.7,1400,9.6151342398019,8.03474298157365,0.554060916023962,6.47753887179226,1.27358883330929,1.43337687229747,36121.1087142634,6,-0.0003148585,0.028234143450386,1.21417335963223,"(-0.1,0]",15.6091370558376
"44",11445,22047790,306,16,1482,3720.7,0,10.1639560061938,6.10595191073675,6.11126095915636,8.09807878146382,0.86556911744323,1.81363124363702,62997.4184445665,5,-0.0004689606,0.0261708908378838,0.473495362550538,"(-0.1,0]",20.6477732793522
"45",11536,22053748,44,3,315,238,0,6.53826670192537,3.38877506558857,4.10380953805787,4.83736852675071,0.598879367586166,0.57393651323186,12840.3562122915,5,-0.003772331,0.000467762699246,0.924760152324968,"(-0.1,0]",13.968253968254
"46",12180,23007593,622,83,4365,2534.3,380.6,4.54826292478869,2.4800294693858,0.853687585823398,2.8719051060372,3.6082747816746,12.1713389551546,196068.203605493,6,-0.0008267724,0.0000114379254569868,0.646674810470826,"(-0.1,0]",14.2497136311569
"47",12911,24009743,49,6,273,760,0,10.1902749957619,4.27056128812797,0.0296703301943265,1.43694959898688,1.11298167899306,0,12864.2599993062,5,-0.0009506414,0.00989568839126326,1.27188140378923,"(-0.1,0]",17.9487179487179
"48",12963,24014246,44,3,843,0,0,4.04061717692926,0,0.0508896806415431,0,1.00070462581809,0.0122906284965796,36804.154291673,5,-0.0006612958,0.0000376911823952338,0.446304520617889,"(-0.1,0]",5.21945432977461
"49",13076,24015938,267,10,6261,19709,0,2.86063978548539,1.18737551729697,0.0877012240149306,1.59311318025536,0.472160334661075,0.327828558083895,284893.085508398,7,-0.001295744,0.0000552457044347388,0.959175589008865,"(-0.1,0]",4.26449448969813
"50",14525,25005305,0,0,343,0,0,0,0,0,0,0.0261081868880674,0,15512.4537782767,5,-0.000323322,0.00442314596163109,0.342097833448123,"(-0.1,0]",0
"51",16300,28039493,6,0,389,0,0,0,0,2.27275065223478,0,0.4327275073467,0.00579177383285562,15911.6548161811,5,-0.001357704,0.028234143450386,0.345503774189224,"(-0.1,0]",1.54241645244216
"52",16453,28055820,6,0,1155,0,0,0,0,0.785095320527072,0,0.627997399177047,0.281692373703526,59939.1420810699,6,-0.00515324,0.00302792490200088,2.38887618802772,"(-0.1,0]",0.519480519480519
"53",16624,28065562,4088,135,68300,50522.8,3972,3.09969365641793,1.70233682360133,2.26486368500551,1.93133637474262,0.611660521503375,0.483386905541529,3247453.46844096,9,-0.003748274,0.000000857890049163983,0.516615667103072,"(-0.1,0]",5.98535871156662
"54",16666,28069718,76,3,969,1112,882,3.99329677497322,1.21431611716195,3.44346032847951,3.31977549374345,0.585650875957263,1.94618845651987,43257.4807090234,5,-0.0009254514,0.0379474349384441,1.01236385795322,"(-0.1,0]",7.84313725490196
"55",16714,29001937,54,4,357,325.3,239.3,7.21413984737024,3.67145568348239,5.74958213211185,4.8425061182944,0.852445679517011,0.628412262559933,16860.3546014434,5,-0.004291129,0.0000149966585209017,0.646642513578152,"(-0.1,0]",15.1260504201681
"56",16862,29037401,283,5,5993,3158,2680,2.22771044678436,0.447638173893097,2.43151757580433,1.50782953322651,0.818709311784356,0.00987922712507674,260541.910410771,7,-0.00362963,0.0000290877744334714,1.11558260566473,"(-0.1,0]",4.72217587185049
"57",16896,29042559,10,0,307,0,0,0,0,6.13485345710372,0,0.522019544403988,0.265947884961914,12057.9717388766,4,-0.002272214,0.00302792490200088,0.426985475494792,"(-0.1,0]",3.25732899022801
"58",17162,29051529,3,0,747,0,0,0,0,1.55173796509955,0,0.52534625641404,0.31085160725257,31330.0483048128,6,-0.005286813,0.0207439174201465,0.306128568305623,"(-0.1,0]",0.401606425702811
"59",17169,29051658,0,0,229,0,0,0,0,0,0,0.277772926086942,0.00266812227698913,11051.6219539841,5,-0.00179557,0.0304360620926451,0.590827446183702,"(-0.1,0]",0
"60",17291,29055833,37,0,361,0,0,0,0,10.4725762041817,0,0.334897508168815,0.173235455336993,13866.4883922104,5,-0.00157226,0.00907801720573989,1.0128824996554,"(-0.1,0]",10.2493074792244
"61",17385,29059794,31,0,2651,0,0,0,0,2.17212805840873,0,0.486883616817873,0.0708406780876233,108783.854259715,7,-0.01111346,0.0000428506264118929,1.70087072073153,"(-0.1,0]",1.1693700490381
"62",17458,29064154,49,1,1736,0,0,1.98293569656561,0.422666268414616,0.89976958512041,1.33248867561511,0.3868410133967,0.0752171647267133,69454.6807195366,6,-0.001022518,0.0352851323530067,1.14323728847222,"(-0.1,0]",2.82258064516129
"63",18083,29081879,0,0,213,0,0,0,0,0.395348833743916,0,0.21713953246904,0.00237674408180769,12229.2875946207,4,-0.00111297,0.0207439174201465,1.90772421801565,"(-0.1,0]",0
"64",18152,29083962,90,0,5764,0,0,0.714141529352711,0.190940851624281,0.293490305900254,0.766155501586771,0.189046225411214,0.132945072362483,273626.673835159,6,-0.003447976,0.0000626502537142492,0.326908468902038,"(-0.1,0]",1.56141568355309
