"","X","WID","n_reg","n_dam","n_basin","res_vol","iw_vol","DOF","DOR","USE","SED","RDD","URB","uparea","order","b","pval","fdi_mean","group"
"53",4230,15044427,0,0,245,0,0,0,0,0,0,0.345783673895865,0,11317.8287163078,5,-0.0007569024,0.0150485434544013,1.14107254474286,"(-0.1,0]"
"54",4644,15053470,77,1,1504,380,380,2.54707215187397,2.78006604757715,1.34880319195106,2.68151008652598,0.346085771190082,0.0611276588145089,62411.2919644506,6,-0.002203435,0.000807170302189612,0.320254342657143,"(-0.1,0]"
"55",4956,15058296,0,0,609,0,0,0,0,0,0,0.304836332419988,0.148908344842798,30582.2171774169,6,-0.001731886,0.0379474349384441,1.83336587842857,"(-0.1,0]"
"56",5497,15073487,0,0,1325,0,0,0,0,0.191346876642774,0,0.0138299473925046,0,68067.4182801089,6,0.0009090912,0.00204591966174925,0.531841566857143,"(0,0.1]"
"57",5507,15073748,0,0,509,0,0,0,0,0.0811394896424121,0,0.160121807868799,0,21941.3757667229,5,0.00135613,0.0000195964637929961,0.406329189885714,"(0,0.1]"
"58",6045,15089652,0,0,539,0,0,0,0,0.0821892400177158,0,0.0751836730758202,0,25572.4029197666,5,-0.0007604798,0.0261708908378838,0.353781926228571,"(-0.1,0]"
"59",6050,15089702,0,0,405,0,0,0,0,0.0103703706352799,0,0.0335358028426582,0,19360.3164859126,5,0.0009131484,0.000236491115731904,1.84421031734286,"(0,0.1]"
"60",6061,15089853,0,0,383,0,0,0,0,0.220519486959878,0,0.0981688313669973,0,16225.3083421733,5,-0.002460058,0.0261708908378838,0.849919469514286,"(-0.1,0]"
"61",6282,15094879,0,0,469,0,0,0,0,0,0,0.0365948829569542,0,20372.2207927107,5,-0.0004148426,0.0083212096678155,0.4895658556,"(-0.1,0]"
"62",6926,15119033,6,0,882,0,0,0,0,2.05039459651729,0,0.0258793689755738,0,48635.4326951958,6,-0.0006432006,0.0138605370137844,1.07679284622857,"(-0.1,0]"
"63",7135,15131178,0,0,349,0,0,0,0,0.704011466407503,0,0.0673925504728853,0,19548.0455585066,5,0.0007993976,0.0163253396829134,1.94066862665714,"(0,0.1]"
"64",7303,15138388,1,0,493,0,0,0,0,0.281338742913387,0,0.391194725586725,0.182653144697147,22645.8246852609,4,0.004412706,0.0437869804777886,1.54734641825714,"(0,0.1]"
"65",7355,15141007,2,0,1797,0,0,0,0,0.283675737596266,0,0.1319372569775,0.0011315936184406,91218.5995494002,6,-0.001181939,0.000236491115731904,0.222110034657143,"(-0.1,0]"
"66",7433,16004443,1,0,288,0,0,0,0,0.260416666666667,0,0.157739584230714,0,12302.4694586797,5,0.000332371,0.0242392703746718,0.190567958542857,"(0,0.1]"
