"","year","spsum","order","slope","slope_perc","significance","unct","x","ymax","ymin","font_face"
"72",1985,419844.619556954,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"73",1986,393850.260223152,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"74",1987,387428.350423801,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"75",1988,409695.349179953,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"76",1989,410634.715408667,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"77",1990,426040.30830245,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"78",1991,421281.044235198,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"79",1992,391027.965151424,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"80",1993,409778.777119491,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"81",1994,397833.711783419,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"82",1995,402640.031418196,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"83",1996,402750.674735964,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"84",1997,387728.925382778,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"85",1998,410139.095210801,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"86",1999,403601.998577612,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"87",2000,403551.699609793,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"88",2001,379423.342250025,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"89",2002,385201.120298099,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"90",2003,371862.580975853,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"91",2004,383455.796176335,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"92",2005,376613.981393399,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"93",2006,366097.249631725,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"94",2007,385087.162134011,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"95",2008,387826.180466493,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"96",2009,379340.909637542,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"97",2010,378433.618699267,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"98",2011,379093.111220033,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"99",2012,379963.814252918,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"100",2013,383588.87228589,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"101",2014,387552.573209256,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
"102",2015,365560.972549754,"Stream Order = 6","-967","-0.25",0.000807170302189612,"0.052",2007,426040.30830245,365560.972549754,"bold"
