"","year","frac","order"
"20186",2018,134.483911803962,"Stream Order = 2"
"19847",1984,86.0972667107945,"Stream Order = 1"
"19857",1985,83.304632798005,"Stream Order = 1"
"19867",1986,83.0653133582016,"Stream Order = 1"
"19877",1987,78.0411464474354,"Stream Order = 1"
"19887",1988,85.5439184779118,"Stream Order = 1"
"19897",1989,84.5545547352852,"Stream Order = 1"
"19907",1990,83.3847056401027,"Stream Order = 1"
"19917",1991,81.3934682465572,"Stream Order = 1"
"19927",1992,78.5157925746426,"Stream Order = 1"
"19937",1993,82.6811621340718,"Stream Order = 1"
"19947",1994,85.44045498378,"Stream Order = 1"
"19957",1995,84.5840622289258,"Stream Order = 1"
"19967",1996,85.0874824167009,"Stream Order = 1"
"19977",1997,78.7664261109236,"Stream Order = 1"
"19987",1998,85.4524356160407,"Stream Order = 1"
"19997",1999,88.8824159897169,"Stream Order = 1"
"20007",2000,85.0762228653622,"Stream Order = 1"
"20017",2001,81.7406673130287,"Stream Order = 1"
"20027",2002,81.3832379163199,"Stream Order = 1"
"20037",2003,80.042492292863,"Stream Order = 1"
"20047",2004,79.0299576002356,"Stream Order = 1"
"20057",2005,80.8367875921971,"Stream Order = 1"
"20067",2006,83.3977273186862,"Stream Order = 1"
"20077",2007,85.3898259900962,"Stream Order = 1"
"20087",2008,88.0583722807768,"Stream Order = 1"
"20097",2009,83.8497663673948,"Stream Order = 1"
"20107",2010,88.9908864249727,"Stream Order = 1"
"20117",2011,87.6348713740605,"Stream Order = 1"
"20127",2012,83.0933394477106,"Stream Order = 1"
"20137",2013,86.5720769111714,"Stream Order = 1"
"20147",2014,82.216561695577,"Stream Order = 1"
"20157",2015,80.5541207147895,"Stream Order = 1"
"20167",2016,86.3831108326729,"Stream Order = 1"
"20177",2017,90.8325328654419,"Stream Order = 1"
"20187",2018,90.6657118868633,"Stream Order = 1"
